cr,fa,hit,miss
43,7,38,12
18,32,39,11
37,13,43,7
46,4,28,22
45,5,36,14
37,13,39,11
42,8,26,24
42,8,37,13
37,13,41,9
37,13,20,30
31,19,22,28
49,1,49,1
37,13,34,16
30,20,48,2
31,19,43,7
25,25,25,25
15,35,36,14
46,4,27,23
46,4,49,1
43,7,34,16
41,9,32,18
29,21,48,2
29,21,34,16
44,6,42,8
32,18,17,33
22,28,33,17
38,12,31,19
43,7,13,37
15,35,33,17
29,21,42,8
44,6,42,8
43,7,44,6
40,10,39,11
15,35,41,9
45,5,39,11
16,34,32,18
34,16,20,30
40,10,15,35
32,18,22,28
31,19,46,4
25,25,29,21
28,22,37,13
33,17,43,7
45,5,40,10
42,8,31,19
48,2,40,10
26,24,42,8
33,17,28,22
38,12,20,30
40,10,42,8
