high_cr,high_fa,high_hit,high_miss,low_cr,low_fa,low_hit,low_miss
40,10,28,22,38,12,32,18
38,12,36,14,45,5,37,13
46,4,44,6,39,11,30,20
41,9,46,4,36,14,38,12
35,15,37,13,27,23,35,15
44,6,43,7,39,11,31,19
44,6,41,9,29,21,34,16
43,7,43,7,27,23,26,24
48,2,49,1,33,17,28,22
43,7,44,6,38,12,32,18
44,6,44,6,37,13,45,5
47,3,46,4,34,16,33,17
47,3,50,0,27,23,28,22
42,8,42,8,35,15,31,19
40,10,41,9,37,13,24,26
38,12,37,13,34,16,33,17
35,15,37,13,38,12,31,19
36,14,41,9,36,14,40,10
47,3,49,1,39,11,42,8
39,11,42,8,27,23,37,13
48,2,49,1,39,11,39,11
40,10,37,13,37,13,35,15
48,2,45,5,35,15,38,12
38,12,32,18,40,10,35,15
45,5,33,17,40,10,32,18
45,5,44,6,32,18,34,16
44,6,41,9,35,15,30,20
44,6,42,8,41,9,42,8
41,9,35,15,38,12,31,19
40,10,43,7,33,17,31,19
45,5,45,5,36,14,28,22
44,6,48,2,41,9,39,11
49,1,50,0,32,18,36,14
39,11,39,11,32,18,27,23
44,6,47,3,42,8,45,5
40,10,30,20,36,14,34,16
47,3,41,9,31,19,30,20
44,6,36,14,38,12,33,17
45,5,45,5,42,8,38,12
44,6,43,7,36,14,24,26
41,9,43,7,34,16,34,16
38,12,40,10,38,12,33,17
40,10,44,6,40,10,31,19
36,14,41,9,30,20,36,14
40,10,35,15,36,14,38,12
42,8,37,13,42,8,32,18
47,3,46,4,39,11,37,13
41,9,42,8,35,15,35,15
50,0,42,8,32,18,28,22
39,11,43,7,24,26,33,17
