cr,fa,hit,miss
38,12,36,14
33,17,41,9
50,0,50,0
46,4,36,14
29,21,45,5
50,0,47,3
31,19,37,13
44,6,47,3
31,19,25,25
32,18,45,5
43,7,41,9
27,23,35,15
29,21,25,25
41,9,39,11
43,7,31,19
50,0,49,1
46,4,43,7
44,6,46,4
39,11,35,15
45,5,47,3
36,14,46,4
47,3,45,5
40,10,42,8
37,13,43,7
41,9,17,33
33,17,45,5
49,1,44,6
44,6,44,6
46,4,41,9
44,6,38,12
49,1,49,1
40,10,28,22
38,12,40,10
45,5,45,5
39,11,34,16
43,7,37,13
44,6,41,9
46,4,47,3
42,8,26,24
48,2,48,2
40,10,37,13
39,11,39,11
45,5,44,6
49,1,50,0
41,9,43,7
24,26,44,6
50,0,50,0
27,23,23,27
45,5,45,5
36,14,49,1
