cr,fa,hit,miss
26,24,32,18
46,4,45,5
36,14,38,12
46,4,38,12
49,1,49,1
45,5,46,4
34,16,33,17
48,2,48,2
41,9,18,32
33,17,34,16
39,11,45,5
31,19,25,25
18,32,37,13
45,5,40,10
37,13,33,17
30,20,25,25
47,3,32,18
29,21,36,14
28,22,47,3
45,5,42,8
50,0,50,0
50,0,47,3
46,4,43,7
36,14,25,25
43,7,36,14
50,0,47,3
46,4,47,3
47,3,50,0
41,9,37,13
31,19,31,19
40,10,49,1
35,15,46,4
28,22,42,8
46,4,48,2
27,23,46,4
39,11,36,14
49,1,50,0
34,16,39,11
49,1,44,6
50,0,50,0
46,4,50,0
48,2,46,4
40,10,10,40
45,5,27,23
45,5,47,3
34,16,35,15
9,41,47,3
38,12,40,10
50,0,50,0
50,0,41,9
