high_cr,high_fa,high_hit,high_miss,low_cr,low_fa,low_hit,low_miss
45,5,42,8,40,10,31,19
48,2,48,2,31,19,31,19
37,13,33,17,35,15,39,11
46,4,42,8,28,22,29,21
34,16,39,11,33,17,41,9
43,7,37,13,32,18,25,25
38,12,43,7,33,17,36,14
38,12,30,20,39,11,30,20
38,12,44,6,29,21,28,22
45,5,41,9,42,8,36,14
44,6,45,5,37,13,29,21
46,4,43,7,40,10,39,11
44,6,44,6,32,18,35,15
40,10,36,14,39,11,34,16
38,12,44,6,34,16,38,12
46,4,47,3,36,14,34,16
43,7,32,18,42,8,39,11
43,7,45,5,36,14,34,16
43,7,35,15,36,14,26,24
48,2,39,11,32,18,30,20
49,1,46,4,37,13,41,9
47,3,41,9,40,10,41,9
44,6,45,5,32,18,31,19
42,8,31,19,34,16,19,31
36,14,32,18,35,15,34,16
47,3,44,6,40,10,26,24
49,1,48,2,36,14,24,26
48,2,47,3,35,15,30,20
45,5,43,7,37,13,33,17
42,8,35,15,41,9,22,28
45,5,46,4,42,8,32,18
42,8,39,11,38,12,39,11
37,13,43,7,35,15,30,20
41,9,40,10,34,16,32,18
41,9,40,10,40,10,30,20
38,12,30,20,39,11,35,15
32,18,27,23,36,14,31,19
38,12,42,8,36,14,39,11
48,2,44,6,35,15,40,10
44,6,31,19,35,15,27,23
43,7,47,3,31,19,35,15
48,2,45,5,38,12,28,22
35,15,32,18,40,10,34,16
46,4,43,7,39,11,36,14
49,1,50,0,37,13,25,25
46,4,47,3,40,10,32,18
41,9,43,7,32,18,36,14
38,12,41,9,30,20,38,12
46,4,44,6,38,12,36,14
37,13,31,19,33,17,35,15
