cr,fa,hit,miss
38,12,31,19
41,9,29,21
37,13,25,25
27,23,33,17
49,1,47,3
48,2,50,0
43,7,42,8
19,31,41,9
35,15,49,1
24,26,38,12
40,10,24,26
38,12,33,17
38,12,36,14
28,22,30,20
36,14,30,20
43,7,44,6
22,28,31,19
28,22,33,17
46,4,39,11
18,32,22,28
50,0,49,1
28,22,41,9
45,5,38,12
46,4,47,3
47,3,49,1
43,7,42,8
45,5,33,17
44,6,43,7
34,16,41,9
35,15,20,30
37,13,47,3
39,11,24,26
34,16,25,25
48,2,30,20
34,16,15,35
23,27,39,11
37,13,34,16
46,4,45,5
38,12,10,40
35,15,26,24
29,21,23,27
21,29,28,22
31,19,37,13
15,35,37,13
33,17,30,20
43,7,11,39
34,16,16,34
35,15,29,21
36,14,48,2
50,0,50,0
