high_cr,high_fa,high_hit,high_miss,low_cr,low_fa,low_hit,low_miss
50,0,48,2,38,12,35,15
41,9,45,5,37,13,33,17
46,4,34,16,35,15,33,17
42,8,33,17,39,11,31,19
49,1,46,4,38,12,29,21
43,7,40,10,43,7,30,20
36,14,40,10,35,15,37,13
44,6,42,8,36,14,40,10
41,9,36,14,38,12,31,19
40,10,28,22,31,19,28,22
41,9,40,10,35,15,39,11
46,4,40,10,42,8,40,10
45,5,37,13,26,24,31,19
49,1,49,1,38,12,45,5
39,11,40,10,36,14,34,16
45,5,36,14,39,11,22,28
48,2,49,1,36,14,37,13
45,5,32,18,38,12,26,24
48,2,39,11,37,13,27,23
41,9,30,20,40,10,36,14
46,4,43,7,38,12,32,18
45,5,46,4,39,11,43,7
42,8,37,13,31,19,35,15
43,7,45,5,39,11,41,9
46,4,40,10,40,10,41,9
50,0,46,4,37,13,35,15
47,3,43,7,32,18,27,23
45,5,34,16,40,10,27,23
31,19,31,19,33,17,32,18
47,3,42,8,41,9,36,14
37,13,37,13,40,10,33,17
47,3,38,12,38,12,32,18
46,4,42,8,36,14,33,17
48,2,45,5,38,12,32,18
35,15,31,19,34,16,31,19
49,1,44,6,34,16,29,21
46,4,45,5,31,19,37,13
47,3,47,3,36,14,29,21
44,6,42,8,40,10,34,16
46,4,48,2,37,13,28,22
32,18,30,20,38,12,33,17
40,10,34,16,40,10,33,17
45,5,45,5,36,14,34,16
41,9,43,7,31,19,32,18
45,5,42,8,31,19,27,23
39,11,42,8,31,19,33,17
44,6,47,3,39,11,34,16
45,5,39,11,32,18,33,17
47,3,35,15,38,12,35,15
43,7,41,9,35,15,33,17
