continuous,discrete
-1.33450452275998,group_a
-0.00912221252336454,group_b
2.42124411965112,group_a
1.0042933705613,group_b
-0.0557603839177986,group_a
-1.26998251580696,group_b
0.0998853641197441,group_a
1.29872511789507,group_b
6.00954694987797,group_a
-0.290237135618748,group_b
1.78087611424622,group_a
2.68846620918027,group_b
4.38999325269386,group_a
-1.31754411683162,group_b
-1.52590734472432,group_a
-0.4232393727627,group_b
0.503079809083414,group_a
2.31547728770835,group_b
-0.664307228030798,group_a
0.280225862120446,group_b
-1.86534079260073,group_a
-2.54938670649325,group_b
1.15272285750343,group_a
5.13879338922822,group_b
-1.1655334293961,group_a
2.33235624436989,group_b
2.23897257876668,group_a
-2.64301811291687,group_b
-1.21540010266665,group_a
0.735263216437913,group_b
1.63579321549379,group_a
1.0100940493686,group_b
4.65323279899393,group_a
3.51531754630388,group_b
-1.18254739122038,group_a
-0.224661638881556,group_b
2.6450908616664,group_a
-1.43181574683523,group_b
2.06839308280299,group_a
-0.988554815471123,group_b
0.221111569966019,group_a
0.0455126633021158,group_b
2.0337396647068,group_a
1.1011735439151,group_b
-1.4567307035259,group_a
3.06466862662454,group_b
-0.839100033139179,group_a
-1.06365972592556,group_b
1.86507195679069,group_a
-2.21974117097867,group_b
